"Month Day, Year Code",Avg Fine Particulate Matter (ľg/mł),Typical?
2005/01/29,10.86,1
2005/01/30,14.81,1
2005/01/31,16.38,0
2005/02/01,14.04,1
2005/02/02,19.72,0
2005/02/03,21.79,0
2005/02/04,30.7,0
2005/02/05,26.13,0
2005/02/06,9.49,1
2005/02/07,8.6,1
2005/02/08,12.47,1
2005/02/09,14.32,1
2005/02/10,18.54,0
2005/02/11,17.66,0
2005/02/12,12.33,1
2005/02/13,15.74,0
2005/02/14,11.58,1
2005/02/15,12.95,1
2005/02/16,9.27,1
2005/02/17,8.39,1
2005/02/18,7.24,1
2005/02/19,4.77,1
2005/02/20,3.71,1
2005/02/21,4.35,1
2005/02/22,6.82,1
2005/02/23,10.04,1
2005/02/24,12.13,1
2005/02/25,17.76,0
2005/02/26,18.18,0
2005/02/27,14.53,1
2005/02/28,9.49,1
2005/03/01,9.89,1
2005/03/02,9.07,1
2005/03/03,10.34,1
2005/03/04,8.15,1
2005/03/05,9.01,1
2005/03/06,14.5,1
2005/03/07,17.88,0
2005/03/08,20,0
2005/03/09,23.45,0
2005/03/10,19.4,0
2005/03/11,16.35,0
2005/03/12,18.12,0
2005/03/13,9.26,1
2005/03/14,7.09,1
2005/03/15,8.28,1
2005/03/16,11,1
2005/03/17,10.12,1
2005/03/18,11.89,1
2005/03/19,6.9,1
2005/03/20,3.97,1
2005/03/21,6.28,1
2005/03/22,5.04,1
2005/03/23,3.39,1
2005/03/24,7.24,1
2005/03/25,7.19,1
2005/03/26,8.47,1
2005/03/27,8.66,1
2005/03/28,3.44,1
2005/03/29,5.8,1
2005/03/30,5.6,1
2005/03/31,8.16,1
2005/04/01,7.68,1
2005/04/02,8.32,1
2005/04/03,9.72,1
2005/04/04,4.7,1
2005/04/05,8.62,1
2005/04/06,10.48,1
2005/04/07,6.18,1
2005/04/08,6.09,1
2005/04/09,5.02,1
2005/04/10,5.73,1
2005/04/11,6.5,1
2005/04/12,8.89,1
2005/04/13,7.96,1
2005/04/14,7.72,1
2005/04/15,11.03,1
2005/04/16,10.65,1
2005/04/17,14.17,1
2005/04/18,12.92,1
2005/04/19,7.12,1
2005/04/20,7.9,1
2005/04/21,9.07,1
2005/04/22,10.21,1
2005/04/23,7.29,1
2005/04/24,4.89,1
2005/04/25,7.01,1
2005/04/26,11.09,1
2005/04/27,7.28,1
2005/04/28,4,1
2005/04/29,6.19,1
2005/04/30,7.02,1
2005/05/01,6.94,1
2005/05/02,6.74,1
2005/05/03,9.03,1
2005/05/04,9.19,1
2005/05/05,6.33,1
2005/05/06,3.5,1
2005/05/07,4.9,1
2005/05/08,5.35,1
2005/05/09,4.75,1
2005/05/10,3.62,1
2005/05/11,5.17,1
2005/05/12,7.35,1
2005/05/13,7.2,1
2005/05/14,11.39,1
2005/05/15,9.96,1
2005/05/16,8.13,1
2005/05/17,7.67,1
2005/05/18,6.57,1
2005/05/19,7.59,1
2005/05/20,5.92,1
2005/05/21,9.19,1
2005/05/22,8.11,1
2005/05/23,12.08,1
2005/05/24,11.97,1
2005/05/25,13.26,1
2005/05/26,16.88,0
2005/05/27,12.89,1
2005/05/28,10.06,1
2005/05/29,7.27,1
2005/05/30,8.9,1
2005/05/31,9.56,1
2005/06/01,7.76,1
2005/06/02,4.02,1
2005/06/03,7.24,1
2005/06/04,10.67,1
2005/06/05,7.34,1
2005/06/06,7.21,1
2005/06/07,6.69,1
2005/06/08,9.15,1
2005/06/09,4.97,1
2005/06/10,10.97,1
2005/06/11,10.6,1
2005/06/12,7.2,1
2005/06/13,11.73,1
2005/06/14,13.82,1
2005/06/15,8.25,1
2005/06/16,7.38,1
2005/06/17,5.3,1
2005/06/18,5.08,1
2005/06/19,4.06,1
2005/06/20,7.97,1
2005/06/21,6.89,1
2005/06/22,9.22,1
2005/06/23,9.14,1
2005/06/24,8.79,1
2005/06/25,8.39,1
2005/06/26,7.08,1
2005/06/27,6.23,1
2005/06/28,8.32,1
2005/06/29,9.51,1
2005/06/30,10.73,1
2005/07/01,15.68,0
2005/07/02,14.31,1
2005/07/03,12.05,1
2005/07/04,25.94,0
2005/07/05,17.12,0
2005/07/06,12.04,1
