datetime,city,state,country,shape,duration (hours/min),comments,date posted,longitude 
6/28/1998 02:30,blossburg (5 miles east of),pa,us,light,one (1) minute,Sudden brilliant light&#44 faded to very dim blue light&#44 which travelled slowly north.,8/5/2001,-77.0641667
3/22/2012 01:00,presque isle,me,us,triangle,2 minutes,Two amber colored objects appeared to be playing in the air darting back and forth at high rates of speed.,5/13/2012,-68.01638890000001
7/4/2013 22:40,belgrade,mt,us,fireball,3-5 minutes,Red fire balls in sky,7/5/2013,-111.1761111
8/14/2007 18:30,newbridge (ireland),nan,nan,circle,10 minutes,Kildare&#44 Ireland. 3 pink balls moving on a horizontal plane returning to the same point in the sky at great speed&#44 observed this activi,10/31/2008,-3.411193
2/27/2004 03:55,huntsville (canada),on,ca,flash,35 sec.,bright flash  followed by a halo around flash like smoke the a small bright object moving away from halo very fast,3/2/2004,-79.216667
5/9/2003 13:30,san francisco,ca,us,triangle,10 seconds,Black&#44 Silent&#44 Low Flying aircraft heading east over San Francisco.,5/13/2003,-122.4183333
2/14/2014 21:45,santa cruz,ca,us,unknown,5-10 minutes,Balls of bright orange lights seen hovering over city and disappearing up into sky from Santa Cruz Lighthouse.,2/27/2014,-122.0297222
9/20/1973 15:15,mansfield,oh,us,cigar,20 minutes,In the Fall of 1973 my sister and I came upon a large silver object hovering approximatley 20 feet above us on a clear&#44 sunny afternoon,1/28/1999,-82.5155556
10/31/2011 21:30,round lake,il,us,sphere,3-4 minutes,2 orange balls of light hovering over a city I HAVE VIDEO &#33,12/12/2011,-88.0933333
3/1/1973 01:00,santa fe (near&#44 on highway),nm,us,unknown,10 minutes,I had an Out of Body experience while driving down the road at night.,2/12/2004,-105.9372222
3/8/2001 19:45,mt. lincoln (?),vt,nan,flash,seconds and minutes,Tonight&#44 at about 6:45 PM EST I was traveling home south to my home in the Northeast Kingdom of VT when I saw two white strobe lights h,3/16/2001,-73.048455
2/11/2009 17:45,cincinnati,oh,us,cylinder,<2 minutes,Grey with slight sheen&#44 right-circular cylinder with flat ends&#44 aspect ratio 43&#44 seen only in two photos.,3/19/2009,-84.4569444
2/25/2012 00:20,union,oh,us,formation,10 minutes,Red/orange Lights over Union Ohio with sound at first,3/13/2012,-84.3063889
4/29/2013 22:05,kuna,id,us,light,15 seconds,Strange light passed over my vehicle and vanished.,5/15/2013,-116.41916670000002
7/4/2013 22:10,the woodlands,tx,us,triangle,5 minutes,2 orange lights type UFOs seen in Houston area on July 4&#44 2013,7/5/2013,-95.4891667
4/15/2014 01:15,el cajon,ca,us,light,1 hour,Two erratic blinking lights spotted in East County that moved&#44 vanished&#44 reappeared&#44 traveled&#44 and finally disappeared.,4/18/2014,-116.9616667
11/13/2005 22:00,belleville,nj,us,nan,10 secs,extremely loud reverberating explosion. homes and windows shook with moise. flash of bright light in concentrated area of town.  smoke,12/16/2005,-74.1505556
7/1/1984 07:00,morelia (mexico),nan,nan,sphere,10 minutes,Orange spheres close to homes in Mexico.,6/2/2013,-101.194982
3/6/2006 22:35,woodland,ca,us,light,5-7 mins,Bright orange lights moving slowly south to north over Woodland - not blinking on/off - not a plane- not a satellite,3/11/2006,-121.7722222
10/11/2012 22:15,blue island,il,us,circle,45 seconds,Red circular object surrounded by yellow glow flying w/no sound quickly coming out of east turning southbound,10/30/2012,-87.68
